id,score,category,e0,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15,e16,e17,e18,e19,e20,e21,e22,e23,e24,e25,e26,e27,e28,e29,e30,e31
1,1,Misc,0.44260785,0.465180844,0.44260785,0.44260785,0.44260785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.996,Beauty,0,0,0.0232488215,0,0,0.447092712,0.447092712,0.447092712,0.447092712,0.447092712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.992,Toys,0,0,0,0.0236956645,0,0,0,0,0,0,0.447088033,0.447088033,0.447088033,0.447088033,0.447088033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.988,Clothing,0,0,0,0,0.0241424963,0,0,0,0,0,0,0,0,0,0,0.447083235,0.447083235,0.447083235,0.447083235,0.447083235,0,0,0,0,0,0,0,0,0,0,0,0
5,0.984,Sports,0,0,0,0,0,0.0245893113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.447078377,0.447078377,0.447078377,0.447078377,0.447078377,0,0,0,0,0,0,0
6,0.98,Misc,0.44707343,0.44707343,0.44707343,0.44707343,0.44707343,0,0.0250361115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.976,Beauty,0,0,0,0,0,0.4420605,0.4420605,0.467257977,0.4420605,0.4420605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.972,Sports,0,0,0,0,0,0,0,0,0.0259296671,0,0,0,0,0,0,0,0,0,0,0,0.447063237,0.447063237,0.447063237,0.447063237,0.447063237,0,0,0,0,0,0,0
9,0.968,Toys,0,0,0,0,0,0,0,0,0,0.0263764225,0.447057992,0.447057992,0.447057992,0.447057992,0.447057992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.964,Sports,0,0,0,0,0,0,0,0,0,0,0.0268231612,0,0,0,0,0,0,0,0,0,0.447052687,0.447052687,0.447052687,0.447052687,0.447052687,0,0,0,0,0,0,0
11,0.96,Food,0,0,0,0,0,0,0,0,0,0,0,0.0272698849,0,0,0,0,0,0,0,0,0,0,0,0,0,0.447047293,0.447047293,0.447047293,0.447047293,0.447047293,0,0
12,0.956,Food,0,0,0,0,0,0,0,0,0,0,0,0,0.0277165901,0,0,0,0,0,0,0,0,0,0,0,0,0.44704178,0.44704178,0.44704178,0.44704178,0.44704178,0,0
13,0.952,Food,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0281632803,0,0,0,0,0,0,0,0,0,0,0,0.447036207,0.447036207,0.447036207,0.447036207,0.447036207,0,0
